Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey
6300,629.9932,55,671,0,189,183,6,0,16,0.9649118,18.10432,18.16794,15.5,True,False
6350,634.992,48,608,0,150,147,3,0,12,0.9535444,18.52303,18.56376,16.5,True,False
6400,639.9908,48,561,0,198,197,1,0,5,0.9567351,18.70588,18.71583,17.6,True,False
6450,644.9896,49,497,0,159,156,3,0,7,0.9484437,19.13078,19.16939,16.42857,True,False
6500,649.9883,45,443,0,133,130,3,0,9,0.9341708,16.5079,16.45622,19,True,False
6550,654.9871,43,414,0,160,158,2,0,9,0.9293095,17.16425,17.22222,14.55556,True,False
6600,659.9859,44,378,0,81,79,2,0,10,0.9431589,19.31217,19.39946,16.1,True,False
6650,664.9847,40,341,0,54,54,0,0,11,0.9544784,15.78886,15.80909,15.18182,True,False
6700,669.9835,39,323,0,28,28,0,0,5,0.9514654,15.58514,15.56604,16.8,True,False
6750,674.9822,41,285,0,75,73,2,0,7,0.9439136,14.69474,14.67986,15.28571,True,False
6800,679.981,43,262,0,98,97,1,0,2,0.9595188,14.51908,14.5,17,True,False
6850,684.9798,44,239,0,56,54,2,0,4,0.9588653,13.45607,13.51489,10,True,False
6900,689.9786,43,219,0,28,27,1,0,6,0.9451597,12.82192,12.78873,14,True,False
6950,694.9774,49,201,0,66,65,1,0,7,0.9509896,12.1393,12.09278,13.42857,True,False
7000,699.9761,51,187,0,64,63,1,0,4,0.9398971,11.25134,11.20765,13.25,True,False
7050,704.9749,55,173,0,32,31,1,0,2,0.9473008,12.25434,12.24561,13,True,False
7100,709.9737,59,156,0,54,54,0,0,1,0.949245,12.85897,12.87097,11,True,False
7150,714.9725,63,141,0,25,24,1,0,4,0.9551802,11.12766,11.08759,12.5,True,False
7200,719.9713,68,127,0,54,53,1,0,5,0.9416338,10.23622,10.11475,13.2,True,False
7250,724.97,76,119,0,68,66,2,0,3,0.9384495,9.436975,9.465517,8.333333,True,False
7300,729.9688,79,112,0,87,80,7,0,6,0.9210734,9.392858,9.358491,10,True,False
7350,734.9676,87,97,0,70,69,1,0,3,0.9404473,8.164948,8.138298,9,True,False
7400,739.9664,95,89,0,65,65,0,0,3,0.9485048,7.64045,7.72093,5.333333,True,False
7450,744.9651,106,83,0,69,68,1,0,2,0.9448938,7.313253,7.320988,7,True,False
7500,749.9639,119,75,0,55,54,1,0,2,0.9142207,7.733333,7.821918,4.5,True,False
7550,754.9627,135,74,0,87,86,1,1,2,0.8789009,7.972973,8.083333,4,True,False
7600,759.9615,145,69,0,68,66,2,0,6,0.8355159,7.594203,7.809524,5.333333,True,False
7650,764.9603,167,65,0,115,107,8,0,6,0.8465984,7.2,7.135593,7.833333,True,False
7700,769.959,186,61,0,89,87,2,0,5,0.8253716,7.901639,7.928571,7.6,True,False
7750,774.9578,200,56,0,71,63,8,0,6,0.7892619,7.035714,6.86,8.5,True,False
7800,779.9566,213,52,0,59,50,9,0,7,0.7036164,6.307693,6.466667,5.285714,True,False
7850,784.9554,238,48,0,111,104,7,0,3,0.754355,5.875,5.866667,6,True,False
7900,789.9542,272,46,0,85,73,12,0,5,0.7591885,6.217391,6.414634,4.6,True,False
7950,794.9529,305,47,0,100,80,20,0,8,0.5568056,5.319149,5.461538,4.625,True,False
8000,799.9517,340,47,0,86,70,16,0,9,0.7102789,5.446808,5.447369,5.444445,True,False
8050,804.9505,393,45,0,136,109,27,0,10,0.5561587,5.333333,5.4,5.1,True,False
8100,809.9493,450,44,0,174,138,36,1,8,0.6471091,5.909091,5.527778,7.625,True,False
8150,814.9481,513,42,0,129,118,11,0,3,0.6615983,5.857143,6.025641,3.666667,True,False
8200,819.9468,579,37,0,135,96,39,0,9,0.7529477,6.702703,6.607143,7,True,False
8250,824.9456,652,36,0,211,149,62,0,9,0.5236801,5.722222,4.777778,8.555555,True,False
8300,829.9444,735,41,0,209,133,76,0,13,0.5702074,5.365854,4.392857,7.461538,True,False
8350,834.9432,819,38,0,193,150,43,1,9,0.7041712,7,6.172414,9.666667,True,False
8400,839.942,933,41,0,267,214,53,0,8,0.6343446,5.609756,6,4,True,False
8450,844.9407,1063,41,0,390,280,110,0,12,0.7711416,5.560976,5.413793,5.916667,True,False
8500,849.9395,1185,45,0,511,289,222,1,20,0.669578,6.111111,5.48,6.9,True,False
8550,854.9383,1339,54,0,603,307,296,0,26,0.6351458,6.666667,6.642857,6.692307,True,False
8600,859.9371,1480,59,0,671,366,305,2,25,0.6232201,7.20339,6.647059,7.96,True,False
8650,864.9359,1682,65,0,732,424,308,0,27,0.5545118,6.984615,7,6.962963,True,False
8700,869.9346,1863,66,0,986,601,385,1,28,0.6294643,7.393939,8.236842,6.25,True,False
8750,874.9334,2052,64,0,904,490,414,0,32,0.6328639,6.96875,7.3125,6.625,True,False
8800,879.9322,2229,67,0,1175,547,628,2,35,0.6031162,6.507463,5.78125,7.171429,True,False
8850,884.931,2425,74,0,1185,579,606,0,38,0.5696197,7.513514,6.583333,8.394737,True,False
8900,889.9297,2638,77,0,1528,777,751,0,39,0.7069645,6.623377,6.31579,6.923077,True,False
8950,894.9285,2865,94,0,2013,928,1085,1,52,0.6114995,7.914894,7.5,8.25,True,False
9000,899.9273,3073,106,0,2316,1007,1309,2,62,0.6218871,7.009434,6.954545,7.048387,True,False
9050,904.9261,3257,132,0,3155,1358,1797,1,75,0.6399845,7.560606,7.052631,7.946667,True,False
9100,909.9249,3459,141,0,3543,1220,2323,3,94,0.5014977,8.4539,8.553191,8.404255,True,False
9150,914.9236,3624,160,0,4516,1763,2753,4,94,0.6044855,8.4,7.727273,8.87234,True,False
9200,919.9224,3784,187,0,5476,2137,3339,2,114,0.5413344,8.786097,8.835616,8.754386,True,False
9250,924.9212,3888,229,0,6172,1950,4222,4,154,0.5300633,12.37555,12.13333,12.49351,True,False
9300,929.92,4015,256,0,7468,2748,4720,4,165,0.6308479,9.640625,10.1978,9.333333,True,False
9350,934.9188,4075,299,0,8327,2979,5348,3,196,0.758211,10.21405,10.57282,10.02551,True,False
9400,939.9175,4185,344,0,10546,4053,6493,2,212,0.7672548,11.42442,11.04545,11.66038,True,False
9450,944.9163,4165,398,0,11713,4608,7105,7,242,0.7596442,11.65578,12.05769,11.39669,True,False
9500,949.9151,4100,481,0,14131,5020,9111,8,308,0.7677039,13.91268,14.52601,13.56818,True,False
9550,954.9139,4029,541,0,15833,5702,10131,8,340,0.766713,12.22736,11.72637,12.52353,True,False
